height,timestamp,diff,change,bits,average_time(seconds),average_hashrate,,Hash Power In Giga Hash,P_t
127008,1306435316,434877,78.15,0x1a269421,337,3.1128E+12,,0.663134716,36.25976608
129024,1307363105,567269,30.44,0x1a1d932f,460,4.05852E+12,,0.647277934,28.18331967
131040,1308145774,876954,54.59,0x1a132185,388,6.27569E+12,,1.128508503,18.79156903
133056,1308915923,1379192,57.27,0x1a0c2a12,382,9.85944E+12,,2.034555063,12.54269706
135072,1309984546,1563027,13.33,0x1a0abbcf,530,1.11751E+13,,3.739888948,11.25442074
137088,1311103389,1690895,8.18,0x1a09ec04,555,1.20962E+13,,6.711390869,10.51926572
139104,1312186279,1888786,11.7,0x1a08e1e5,537,1.35202E+13,,10.62680318,9.579839144
141120,1313451894,1805700,-4.4,0x1a094a86,628,1.29221E+13,,11.42168584,9.949208222
143136,1314681303,1777774,-1.55,0x1a096fe3,610,1.27174E+13,,12.01984874,10.08354219
145152,1315906316,1755425,-1.26,0x1a098ea5,608,1.25657E+13,,12.9571093,10.185994
147168,1317163624,1689334,-3.76,0x1a09ee5d,624,1.2089E+13,,11.57928193,10.52453986
149184,1318556675,1468195,-13.09,0x1a0b6d4b,691,1.05002E+13,,13.34442097,11.87490765
151200,1320032534,1203461,-18.03,0x1a0df0ca,732,8.61369E+12,,13.26392523,14.1252834
153216,1321253770,1192497,-0.91,0x1a0e119a,606,8.53263E+12,,11.95498524,14.24427728
155232,1322576420,1090715,-8.54,0x1a0f61b1,656,7.80661E+12,,9.909317712,15.42019194
157248,1323718955,1155038,5.9,0x1a0e8668,567,8.26594E+12,,8.977080038,14.65222828
159264,1324925005,1159929,0.42,0x1a0e76ba,598,8.29242E+12,,8.973662527,14.61054455
161280,1326047176,1250757,7.83,0x1a0d69d7,557,8.94999E+12,,7.647040625,13.65463509
163296,1327204504,1307728,4.55,0x1a0cd43f,574,9.35765E+12,,8.132965582,13.12948615
165312,1328351561,1379647,5.5,0x1a0c290b,569,9.87149E+12,,7.062323843,12.52934186
167328,1329564255,1376302,-0.24,0x1a0c309c,602,9.8507E+12,,8.072457128,12.55240971
169344,1330676736,1496978,8.77,0x1a0b350c,552,1.0712E+13,,9.077623651,11.6717583
171360,1331885394,1498294,0.09,0x1a0b3287,600,1.07241E+13,,8.77601647,11.66038143
173376,1332999707,1626553,8.56,0x1a0a507e,553,1.16423E+13,,9.807318406,10.86694511
175392,1334246689,1577913,-2.99,0x1a0aa1e3,619,1.12943E+13,,10.74136802,11.15252976
177408,1335512370,1508589,-4.39,0x1a0b1ef7,628,1.07947E+13,,9.673977247,11.59465115
179424,1336565313,1733207,14.89,0x1a09ae02,522,1.24056E+13,,11.61897621,10.29681754
181440,1337883029,1591074,-8.2,0x1a0a8b5f,654,1.13888E+13,,12.12846182,11.07322426
183456,1339099525,1583177,-0.5,0x1a0a98d6,603,1.13248E+13,,9.883251608,11.12679324
185472,1340208964,1726566,9.06,0x1a09b78a,550,1.2356E+13,,9.883251608,10.33173185
187488,1341401841,1751454,1.44,0x1a099431,592,1.25325E+13,,14.12994691,10.20872658
189504,1342537166,1866391,6.56,0x1a08fd2e,563,1.33576E+13,,10.42514375,9.676959391
191520,1343647577,2036671,9.12,0x1a083cc9,551,1.45536E+13,,13.36667734,9.013231415
193536,1344772855,2190865,7.57,0x1a07a85e,558,1.56715E+13,,12.35593103,8.484388688
195552,1345859199,2440642,11.4,0x1a06dfbe,539,1.74622E+13,,13.81832236,7.778430794
197568,1346955037,2694047,10.38,0x1a063a38,544,1.92845E+13,,12.88566102,7.194595728
199584,1348092851,2864140,6.31,0x1a05db8b,564,2.05014E+13,,15.77239855,6.862505209
201600,1349226660,3054627,6.65,0x1a057e08,562,2.18728E+13,,15.9964681,6.532556756
203616,1350428168,3072321,0.58,0x1a0575ef,596,2.20131E+13,,15.89357527,6.501115241
205632,1351556195,3304356,7.55,0x1a0513c5,560,2.35829E+13,,24.90946413,6.174876127
